2026-08-24 22:54:04,842 | INFO | app.main | Application shutdown
2026-08-24 22:54:05,725 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:05,745 | INFO | app.main | API routers initialized
2026-08-24 22:54:05,745 | INFO | app.main | Static files mounted
2026-08-24 22:54:05,746 | INFO | app.main | Application startup
2026-08-24 22:54:05,748 | INFO | app.main | Database tables initialized
2026-08-24 22:54:07,897 | INFO | app.main | Application shutdown
2026-08-24 22:54:08,771 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:08,791 | INFO | app.main | API routers initialized
2026-08-24 22:54:08,791 | INFO | app.main | Static files mounted
2026-08-24 22:54:08,792 | INFO | app.main | Application startup
2026-08-24 22:54:08,793 | INFO | app.main | Database tables initialized
2026-08-24 22:54:10,953 | INFO | app.main | Application shutdown
2026-08-24 22:54:11,839 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:11,858 | INFO | app.main | API routers initialized
2026-08-24 22:54:11,859 | INFO | app.main | Static files mounted
2026-08-24 22:54:11,859 | INFO | app.main | Application startup
2026-08-24 22:54:11,861 | INFO | app.main | Database tables initialized
2026-08-24 22:54:14,559 | INFO | app.main | Application shutdown
2026-08-24 22:54:15,445 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:15,465 | INFO | app.main | API routers initialized
2026-08-24 22:54:15,466 | INFO | app.main | Static files mounted
2026-08-24 22:54:15,466 | INFO | app.main | Application startup
2026-08-24 22:54:15,468 | INFO | app.main | Database tables initialized
2026-08-24 22:54:17,089 | INFO | app.main | Application shutdown
2026-08-24 22:54:17,965 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:17,985 | INFO | app.main | API routers initialized
2026-08-24 22:54:17,985 | INFO | app.main | Static files mounted
2026-08-24 22:54:17,986 | INFO | app.main | Application startup
2026-08-24 22:54:17,987 | INFO | app.main | Database tables initialized
2026-08-24 22:54:19,390 | INFO | app.main | Application shutdown
2026-08-24 22:54:20,276 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:20,295 | INFO | app.main | API routers initialized
2026-08-24 22:54:20,296 | INFO | app.main | Static files mounted
2026-08-24 22:54:20,297 | INFO | app.main | Application startup
2026-08-24 22:54:20,298 | INFO | app.main | Database tables initialized
2026-08-24 22:54:22,244 | INFO | app.main | Application shutdown
2026-08-24 22:54:23,152 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:23,171 | INFO | app.main | API routers initialized
2026-08-24 22:54:23,172 | INFO | app.main | Static files mounted
2026-08-24 22:54:23,173 | INFO | app.main | Application startup
2026-08-24 22:54:23,175 | INFO | app.main | Database tables initialized
2026-08-24 22:54:24,033 | INFO | app.main | Application shutdown
2026-08-24 22:54:24,921 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:24,940 | INFO | app.main | API routers initialized
2026-08-24 22:54:24,941 | INFO | app.main | Static files mounted
2026-08-24 22:54:24,941 | INFO | app.main | Application startup
2026-08-24 22:54:24,943 | INFO | app.main | Database tables initialized
2026-08-24 22:54:25,853 | INFO | app.services.auth_service | User authenticated successfully: user_id=1
2026-08-24 22:54:25,857 | INFO | app.api.auth | User logged in: user_id=1 username=Nikita
2026-08-24 22:54:25,858 | INFO | app.main | POST /auth/login -> 200 (0.076s)
2026-08-24 22:54:26,228 | INFO | app.main | GET /auth/me -> 200 (0.003s)
2026-08-24 22:54:26,337 | INFO | app.main | GET /chats/ -> 200 (0.011s)
2026-08-24 22:54:26,357 | INFO | app.main | GET /users/2/block-status -> 200 (0.004s)
2026-08-24 22:54:26,366 | INFO | app.services.message_service | Unread counts loaded: user_id=1 chat_count=0
2026-08-24 22:54:26,366 | INFO | app.main | GET /messages/unread/counts -> 200 (0.004s)
2026-08-24 22:54:26,380 | INFO | app.main | GET /users/2/status -> 200 (0.003s)
2026-08-24 22:54:26,697 | INFO | app.websocket.chat_ws | Notification WebSocket connected: user_id=1 connections=1
2026-08-24 22:54:26,697 | INFO | app.api.websocket_routes | Notification WebSocket connected: user_id=1
2026-08-24 22:54:26,818 | INFO | app.websocket.chat_ws | Broadcasting user status: user_id=1 status=online members=1
2026-08-24 22:54:28,619 | INFO | app.api.user | User status updated: user_id=1 status=offline
2026-08-24 22:54:28,621 | INFO | app.main | POST /users/me/status -> 200 (0.096s)
2026-08-24 22:54:28,632 | INFO | app.api.websocket_routes | Notification WebSocket disconnected: user_id=1 code=1005
2026-08-24 22:54:28,632 | INFO | app.websocket.chat_ws | User went offline: user_id=1
2026-08-24 22:54:28,632 | INFO | app.api.websocket_routes | Notification WebSocket disconnected: user_id=1 became_offline=True
2026-08-24 22:54:28,710 | INFO | app.websocket.chat_ws | Broadcasting user status: user_id=1 status=offline members=1
2026-08-24 22:54:28,746 | INFO | app.main | GET /js/login.js -> 304 (0.034s)
2026-08-24 22:54:28,825 | INFO | app.api.user | User status updated: user_id=1 status=away
2026-08-24 22:54:28,826 | INFO | app.main | POST /users/me/status -> 200 (0.115s)
2026-08-24 22:54:30,449 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:54:30,449 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:54:30,450 | INFO | app.main | POST /auth/login -> 401 (0.06s)
2026-08-24 22:54:31,058 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:54:31,058 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:54:31,058 | INFO | app.main | POST /auth/login -> 401 (0.059s)
2026-08-24 22:54:31,636 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:54:31,636 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:54:31,637 | INFO | app.main | POST /auth/login -> 401 (0.055s)
2026-08-24 22:54:32,154 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:54:32,155 | WARNING | app.api.auth | Login failed: login=Nikita123_543
